BusinessName,Address,Mobile,Pincode,City,State,Category,Subcategory,LeadStatus,Status
shop1,Nagpur1,1231231231,123121,Nagpur,Maharastra,Education,class,accepted,free listing
shop2,Nagpur2,1231231232,123122,Nagpur,Maharastra,Education,class,accepted,free listing
shop3,Nagpur3,1231231233,123123,Nagpur,Maharastra,Education,class,accepted,free listing
shop4,Nagpur4,1231231234,123124,Nagpur,Maharastra,Education,class,accepted,free listing
shop5,Nagpur5,1231231235,123125,Nagpur,Maharastra,Education,class,accepted,free listing
shop6,Nagpur6,1231231236,123126,Nagpur,Maharastra,Education,class,accepted,free listing
shop7,Nagpur7,1231231237,123127,Nagpur,Maharastra,Education,class,accepted,free listing
shop8,Nagpur8,1231231238,123128,Nagpur,Maharastra,Education,class,accepted,free listing
shop9,Nagpur9,1231231239,123129,Nagpur,Maharastra,Education,class,accepted,free listing
shop10,Nagpur10,1231231240,123130,Nagpur,Maharastra,Education,class,accepted,free listing
shop11,Nagpur11,1231231241,123131,Nagpur,Maharastra,Education,class,accepted,free listing
shop12,Nagpur12,1231231242,123132,Nagpur,Maharastra,Education,class,accepted,free listing
shop13,Nagpur13,1231231243,123133,Nagpur,Maharastra,Education,class,accepted,free listing
shop14,Nagpur14,1231231244,123134,Nagpur,Maharastra,Education,class,accepted,free listing
shop15,Nagpur15,1231231245,123135,Nagpur,Maharastra,Education,class,accepted,free listing
shop16,Nagpur16,1231231246,123136,Nagpur,Maharastra,Education,class,accepted,free listing
shop17,Nagpur17,1231231247,123137,Nagpur,Maharastra,Education,class,accepted,free listing
shop18,Nagpur18,1231231248,123138,Nagpur,Maharastra,Education,class,accepted,free listing
shop19,Nagpur19,1231231249,123139,Nagpur,Maharastra,Education,class,accepted,free listing
shop20,Nagpur20,1231231250,123140,Nagpur,Maharastra,Education,class,accepted,free listing
shop21,Nagpur21,1231231251,123141,Nagpur,Maharastra,Education,class,accepted,free listing
shop22,Nagpur22,1231231252,123142,Nagpur,Maharastra,Education,class,accepted,free listing
shop23,Nagpur23,1231231253,123143,Nagpur,Maharastra,Education,class,accepted,free listing
shop24,Nagpur24,1231231254,123144,Nagpur,Maharastra,Education,class,accepted,free listing
shop25,Nagpur25,1231231255,123145,Nagpur,Maharastra,Education,class,accepted,free listing
shop26,Nagpur26,1231231256,123146,Nagpur,Maharastra,Education,class,accepted,free listing
shop27,Nagpur27,1231231257,123147,Nagpur,Maharastra,Education,class,accepted,free listing
shop28,Nagpur28,1231231258,123148,Nagpur,Maharastra,Education,class,accepted,free listing
shop29,Nagpur29,1231231259,123149,Nagpur,Maharastra,Education,class,accepted,free listing
